"question_id","classroom_id","is_correct","skill_id","created_at","attempt","student_id"
"941","19","1","635","2015-04-06T00:31:02.675Z","1","1134"
"943","19","0","635","2015-04-06T00:31:41.408Z","1","1134"
"940","19","0","635","2015-04-06T00:31:54.237Z","1","1134"
"936","19","0","635","2015-04-06T00:32:40.258Z","1","1134"
"938","19","1","635","2015-04-06T09:05:24.252Z","1","1134"
"949","19","1","636","2015-04-07T08:50:44.278Z","1","1134"
"947","19","1","636","2015-04-07T08:50:56.327Z","1","1134"
"948","19","1","636","2015-04-07T08:51:35.456Z","1","1134"
"954","19","1","636","2015-04-07T08:52:12.822Z","1","1134"
"952","19","1","636","2015-04-07T08:52:47.093Z","1","1134"
"949","19","1","636","2015-03-31T13:24:43.154Z","1","1113"
"950","19","1","636","2015-03-31T13:24:52.747Z","1","1113"
"948","19","1","636","2015-03-31T13:25:07.048Z","1","1113"
"947","19","1","636","2015-03-31T13:25:21.777Z","1","1113"
"955","19","1","636","2015-03-31T13:26:06.293Z","1","1113"
"973","19","1","641","2015-04-02T23:46:01.083Z","1","1113"
"969","19","1","641","2015-04-02T23:46:21.634Z","1","1113"
"967","19","1","641","2015-04-02T23:46:43.259Z","1","1113"
"961","19","1","641","2015-04-02T23:47:00.385Z","1","1113"
"965","19","1","641","2015-04-02T23:47:15.201Z","1","1113"
"966","19","1","641","2015-04-04T05:50:32.951Z","1","1113"
"962","19","1","641","2015-04-04T05:51:38.689Z","1","1113"
"959","19","1","641","2015-04-04T05:51:56.693Z","1","1113"
"977","19","1","641","2015-04-04T05:52:13.842Z","1","1113"
"973","19","1","641","2015-04-04T05:52:33.956Z","2","1113"
"943","19","1","635","2015-04-06T14:26:35.469Z","1","1113"
"939","19","1","635","2015-04-06T14:26:52.640Z","1","1113"
"944","19","0","635","2015-04-06T14:27:04.159Z","1","1113"
"941","19","1","635","2015-04-06T14:27:22.877Z","1","1113"
"940","19","1","635","2015-04-06T14:27:30.789Z","1","1113"
"954","19","1","636","2015-04-07T00:15:39.495Z","1","1113"
"952","19","1","636","2015-04-07T00:15:57.344Z","1","1113"
"956","19","1","636","2015-04-07T00:16:22.129Z","1","1113"
"953","19","0","636","2015-04-07T00:17:31.042Z","1","1113"
"955","19","1","636","2015-04-07T00:18:16.776Z","2","1113"
"965","19","1","641","2015-04-04T15:39:29.705Z","1","1152"
"961","19","0","641","2015-04-04T15:39:53.211Z","1","1152"
"970","19","1","641","2015-04-04T15:40:01.081Z","1","1152"
"962","19","0","641","2015-04-04T15:40:12.434Z","1","1152"
"977","19","0","641","2015-04-04T15:40:23.870Z","1","1152"
"948","19","1","636","2015-03-31T15:42:41.197Z","1","1137"
"950","19","1","636","2015-03-31T15:43:06.637Z","1","1137"
"956","19","0","636","2015-03-31T15:43:44.440Z","1","1137"
"953","19","1","636","2015-03-31T15:44:53.190Z","1","1137"
"947","19","1","636","2015-03-31T15:45:09.215Z","1","1137"
"971","19","0","641","2015-04-03T00:16:20.327Z","1","1137"
"962","19","0","641","2015-04-03T00:16:54.397Z","1","1137"
"974","19","1","641","2015-04-03T00:17:32.342Z","1","1137"
"972","19","1","641","2015-04-03T00:18:12.786Z","1","1137"
"970","19","1","641","2015-04-03T00:18:49.545Z","1","1137"
"947","19","1","636","2015-04-07T00:37:49.478Z","2","1137"
"954","19","1","636","2015-04-07T00:38:09.711Z","1","1137"
"952","19","1","636","2015-04-07T00:38:37.427Z","1","1137"
"956","19","1","636","2015-04-07T00:38:56.159Z","2","1137"
"950","19","1","636","2015-04-07T00:39:08.288Z","2","1137"
"941","19","1","635","2015-03-30T14:30:03.596Z","1","1127"
"939","19","1","635","2015-03-30T14:30:18.799Z","1","1127"
"943","19","1","635","2015-03-30T14:30:32.710Z","1","1127"
"942","19","1","635","2015-03-30T14:30:48.366Z","1","1127"
"944","19","0","635","2015-03-30T14:31:05.382Z","1","1127"
"952","19","1","636","2015-03-31T10:31:44.534Z","1","1127"
"955","19","1","636","2015-03-31T10:32:03.895Z","1","1127"
"948","19","1","636","2015-03-31T10:32:12.694Z","1","1127"
"956","19","1","636","2015-03-31T10:32:25.179Z","1","1127"
"953","19","1","636","2015-03-31T10:32:58.789Z","1","1127"
"963","19","1","641","2015-04-03T11:58:43.282Z","1","1127"
"964","19","0","641","2015-04-03T11:58:53.660Z","1","1127"
"969","19","1","641","2015-04-03T11:59:07.358Z","1","1127"
"967","19","1","641","2015-04-03T11:59:14.128Z","1","1127"
"974","19","1","641","2015-04-03T11:59:20.583Z","1","1127"
"963","19","1","641","2015-04-03T17:11:27.777Z","2","1127"
"964","19","1","641","2015-04-03T17:11:42.135Z","2","1127"
"977","19","1","641","2015-04-03T17:11:49.136Z","1","1127"
"966","19","1","641","2015-04-03T17:11:55.799Z","1","1127"
"971","19","1","641","2015-04-03T17:12:03.441Z","1","1127"
"950","19","1","636","2015-04-07T09:13:52.032Z","1","1127"
"953","19","1","636","2015-04-07T09:14:16.625Z","2","1127"
"949","19","1","636","2015-04-07T09:14:33.490Z","1","1127"
"954","19","1","636","2015-04-07T09:14:49.693Z","1","1127"
"956","19","1","636","2015-04-07T09:15:04.131Z","2","1127"
"923","19","1","632","2015-03-26T12:54:12.638Z","1","1120"
"927","19","1","632","2015-03-26T12:54:21.021Z","1","1120"
"920","19","1","632","2015-03-26T12:54:37.633Z","1","1120"
"787","19","1","632","2015-03-26T12:54:55.241Z","1","1120"
"925","19","1","632","2015-03-26T12:55:02.277Z","1","1120"
"954","19","0","636","2015-03-31T16:30:29.548Z","1","1120"
"951","19","1","636","2015-03-31T16:30:45.194Z","1","1120"
"955","19","1","636","2015-03-31T16:30:59.262Z","1","1120"
"953","19","1","636","2015-03-31T16:31:18.071Z","1","1120"
"948","19","1","636","2015-03-31T16:31:35.999Z","1","1120"
"973","19","0","641","2015-04-02T23:59:45.526Z","1","1120"
"966","19","1","641","2015-04-02T23:59:58.839Z","1","1120"
"974","19","1","641","2015-04-03T00:00:08.838Z","1","1120"
"970","19","1","641","2015-04-03T00:00:22.073Z","1","1120"
"977","19","1","641","2015-04-03T00:00:33.356Z","1","1120"
"971","19","1","641","2015-04-04T05:20:13.394Z","1","1120"
"968","19","1","641","2015-04-04T05:20:19.365Z","1","1120"
"976","19","1","641","2015-04-04T05:20:31.755Z","1","1120"
"970","19","1","641","2015-04-04T05:20:47.569Z","2","1120"
"963","19","1","641","2015-04-04T05:20:54.281Z","1","1120"
"942","19","1","635","2015-04-06T00:39:21.678Z","1","1120"
"941","19","1","635","2015-04-06T00:39:27.557Z","1","1120"
"939","19","1","635","2015-04-06T00:39:33.312Z","1","1120"
"944","19","1","635","2015-04-06T00:39:39.687Z","1","1120"
"943","19","1","635","2015-04-06T00:39:48.600Z","1","1120"
"951","19","1","636","2015-04-07T00:31:51.737Z","2","1120"
"949","19","1","636","2015-04-07T00:31:59.169Z","1","1120"
"947","19","1","636","2015-04-07T00:32:16.570Z","1","1120"
"954","19","1","636","2015-04-07T00:32:34.982Z","2","1120"
"950","19","1","636","2015-04-07T00:32:42.680Z","1","1120"
"964","19","1","641","2015-04-03T10:48:17.102Z","1","1157"
"970","19","0","641","2015-04-03T10:48:31.167Z","1","1157"
"967","19","0","641","2015-04-03T10:48:44.540Z","1","1157"
"971","19","1","641","2015-04-03T10:48:57.551Z","1","1157"
"962","19","0","641","2015-04-03T10:49:05.337Z","1","1157"
"937","19","1","635","2015-04-06T11:36:16.620Z","1","1157"
"938","19","0","635","2015-04-06T11:36:25.975Z","1","1157"
"936","19","0","635","2015-04-06T11:36:41.782Z","1","1157"
"941","19","1","635","2015-04-06T11:36:56.661Z","1","1157"
"940","19","0","635","2015-04-06T11:37:06.328Z","1","1157"
"971","19","1","641","2015-04-03T00:34:16.204Z","1","1108"
"970","19","1","641","2015-04-03T00:34:28.324Z","1","1108"
"974","19","1","641","2015-04-03T00:34:54.960Z","1","1108"
"975","19","1","641","2015-04-03T00:35:28.598Z","1","1108"
"959","19","1","641","2015-04-03T00:35:41.423Z","1","1108"
"976","19","1","641","2015-04-04T13:33:07.081Z","1","1108"
"967","19","1","641","2015-04-04T13:33:25.632Z","1","1108"
"962","19","1","641","2015-04-04T13:33:42.556Z","1","1108"
"965","19","1","641","2015-04-04T13:33:58.562Z","1","1108"
"969","19","1","641","2015-04-04T13:34:09.397Z","1","1108"
"941","19","1","635","2015-04-06T00:20:48.282Z","1","1108"
"938","19","1","635","2015-04-06T00:20:52.318Z","1","1108"
"945","19","1","635","2015-04-06T00:21:02.195Z","1","1108"
"944","19","1","635","2015-04-06T00:21:05.728Z","1","1108"
"939","19","1","635","2015-04-06T00:21:09.160Z","1","1108"
"950","19","0","636","2015-04-07T00:25:44.088Z","1","1108"
"956","19","1","636","2015-04-07T00:27:12.653Z","1","1108"
"947","19","1","636","2015-04-07T00:27:19.408Z","1","1108"
"952","19","1","636","2015-04-07T00:27:28.982Z","1","1108"
"953","19","1","636","2015-04-07T00:27:55.962Z","1","1108"
"925","19","1","632","2015-03-26T12:52:59.526Z","1","1110"
"786","19","1","632","2015-03-26T12:53:08.651Z","1","1110"
"788","19","1","632","2015-03-26T12:53:14.996Z","1","1110"
"789","19","1","632","2015-03-26T12:53:22.950Z","1","1110"
